Interval,Occurrence Modulo,Solar Year,Synodic Months,Anomalistic Months
19,11 1*19,6939.601591,6939.68838,6943.7466
27,0 1*19+8,9861.539103,9863.216677,9864.5289
38,0 2*19,13879.20318,13879.37676,13887.4932
46,3 2*19+8,16801.14069,16802.90506,16808.2755
57,0 3*19,20818.80477,20819.06514,20831.2398
65,1 3*19+8,23740.74229,23742.59344,23752.0221
76,1 4*19,27758.40636,27758.75352,27774.9864
84,0 4*19+8,30680.34388,30682.28182,30695.7687
95,0 5*19,34698.00796,34698.4419,34718.733
103,0 5*19+8,37619.94547,37621.9702,37639.5153
114,0 6*19,41637.60955,41638.13028,41634.92505
122,1 6*19+8,44559.54706,44561.65858,44555.70735
133,0 7*19,48577.21114,48577.81866,48578.67165
141,6 7*19+8,51499.14865,51501.34696,51499.45395