Hindu Solar (Saka Era),Fixed Day,Gregorian (CE),Hindu Lunar (Vikrama Era),Leap Month?,Leap Day?,Sankranti: hh:mm:ss,Sankranti: Moments,Amavasya: hh:mm:ss,Amavasya: Moments
1744/9/1,665453,1822/12/13,1879/8/30,FALSE,FALSE,00:10:27.526," 665,454.01 ",17:52:00.161," 665,453.74 "
1744/10/1,665483,1823/1/12,1879/9/30,FALSE,FALSE,07:48:32.677," 665,483.33 ",13:46:57.632," 665,483.57 "
1763/9/1,672393,1841/12/13,1898/9/1,FALSE,FALSE,22:10:02.920," 672,393.92 ",02:02:04.954," 672,393.08 "
1763/10/1,672422,1842/1/11,1898/9/30,FALSE,FALSE,05:48:08.110," 672,423.24 ",20:30:22.804," 672,422.85 "
1763/11/1,672452,1842/2/10,1898/10/30,FALSE,FALSE,16:32:11.852," 672,452.69 ",16:06:10.978," 672,452.67 "
1763/12/1,672482,1842/3/12,1898/11/30,FALSE,FALSE,12:14:30.094," 672,482.51 ",10:53:27.932," 672,482.45 "
1790/9/1,682255,1868/12/13,1925/09/30,FALSE,FALSE,21:50:32.239," 682,255.91 ",06:09:24.227," 682,256.26 "
1790/10/1,682284,1869/1/11,1925/10/29,FALSE,FALSE,05:28:37.402," 682,285.23 ",23:17:43.494," 682,285.97 "
1790/11/1,682314,1869/2/10,1925/11/29,FALSE,FALSE,16:12:41.144," 682,314.68 ",18:05:11.108," 682,315.75 "
1790/12/1,682344,1869/3/12,1925/12/29,FALSE,FALSE,11:54:48.881," 682,344.50 ",13:00:01.825," 682,345.54 "
1809/9/1,689195,1887/12/14,1944/09/30,FALSE,FALSE,19:50:18.190," 689,195.83 ",00:36:07.304," 689,196.03 "
1809/10/1,689224,1888/1/12,1944/10/29,FALSE,FALSE,03:28:12.797," 689,225.14 ",13:35:00.591," 689,225.57 "
1809/11/1,689254,1888/2/11,1944/11/30,FALSE,FALSE,14:12:16.539," 689,254.59 ",04:16:12.013," 689,255.18 "
1809/12/1,689284,1888/3/12,1944/12/30,FALSE,FALSE,09:54:34.781," 689,284.41 ",20:22:28.399," 689,284.85 "
1820/9/1,693213,1898/12/14,1955/09/01,FALSE,FALSE,19:50:18.190," 689,195.83 ",00:36:07.304," 689,196.03 "
1820/10/1,693242,1899/1/12,1955/10/01,FALSE,FALSE,23:46:54.268," 693,242.99 ",04:05:28.667," 693,242.17 "
1820/11/1,693272,1899/2/11,1955/11/01,FALSE,FALSE,10:31:08.567," 693,272.44 ",14:31:57.701," 693,271.61 "
1820/12/1,693301,1899/3/12,1955/12/01,FALSE,FALSE,06:13:16.303," 693,302.26 ",00:51:14.516," 693,301.04 "
1866/9/1,710015,1944/12/15,2001/09/30,FALSE,FALSE,13:49:04.331," 710,015.58 ",19:41:30.672," 710,015.82 "
1866/10/1,710044,1945/01/13,2001/10/29,FALSE,FALSE,21:27:09.517," 710,044.89 ",10:16:11.944," 710,045.43 "
1866/11/1,710074,1945/02/12,2001/11/30,FALSE,FALSE,08:11:13.259," 710,074.34 ",22:40:48.473," 710,074.95 "
1866/12/1,710103,1945/03/13,2001/12/29,FALSE,FALSE,03:53:20.996," 710,104.16 ",09:06:03.927," 710,104.38 "
1885/9/1,716955,1963/12/16,2020/09/01,FALSE,FALSE,11:48:39.726," 716,955.49 ",06:32:25.892," 716,955.27 "
1885/10/1,716984,1964/01/14,2020/09/30,FALSE,FALSE,19:26:34.354," 716,984.81 ",01:20:25.252," 716,985.06 "
1885/11/1,717013,1964/02/12,2020/11/29,FALSE,FALSE,06:10:38.096," 717,014.26 ",17:47:57.629," 717,014.74 "
1885/12/1,717043,1964/03/13,2020/12/29,FALSE,FALSE,01:52:56.390," 717,044.08 ",07:20:04.127," 717,044.31 "